Id,Day,State ID,State,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident Population 2020 Census,Population Density 2020 Census,Density Rank 2020 Census,SexRatio
0,2,14,Illinois,40.3495,-88.9861,957138,7697.015291,13436652,1.867428375,106035.6834,"12,812,508",230.8,14,97
5,3,14,Illinois,40.3495,-88.9861,961499,7732.282519,13482117,1.869933386,106394.4716,"12,812,508",230.8,14,97
10,4,14,Illinois,40.3495,-88.9861,966468,7772.205747,13530371,1.869466331,106775.2693,"12,812,508",230.8,14,97
15,5,14,Illinois,40.3495,-88.9861,973157,7826.175891,13617454,1.871699544,107462.487,"12,812,508",230.8,14,97
20,6,14,Illinois,40.3495,-88.9861,980553,7885.906848,13698428,1.874834882,108101.4954,"12,812,508",230.8,14,97
25,7,14,Illinois,40.3495,-88.9861,989104,7955.012938,13803946,1.878983577,108934.1934,"12,812,508",230.8,14,97
30,8,14,Illinois,40.3495,-88.9861,998214,8028.222621,13922611,1.878264699,109870.6413,"12,812,508",230.8,14,97
35,9,14,Illinois,40.3495,-88.9861,1004829,8081.229998,14025514,1.875905117,110682.703,"12,812,508",230.8,14,97
40,10,14,Illinois,40.3495,-88.9861,1009457,8118.406976,14103289,1.875382746,111296.4664,"12,812,508",230.8,14,97
45,11,14,Illinois,40.3495,-88.9861,1014163,8156.096902,14169986,1.873489395,111822.8075,"12,812,508",230.8,14,97
50,12,14,Illinois,40.3495,-88.9861,1020671,8208.512415,14263477,1.874408749,112560.5941,"12,812,508",230.8,14,97
55,13,14,Illinois,40.3495,-88.9861,1026413,8254.772538,14339584,1.875376423,113161.1944,"12,812,508",230.8,14,97
60,14,14,Illinois,40.3495,-88.9861,1032958,8307.266967,14457620,1.87369025,114092.6786,"12,812,508",230.8,14,97
65,15,14,Illinois,40.3495,-88.9861,1039451,8359.68248,14564776,1.876007718,114938.3029,"12,812,508",230.8,14,97
70,16,14,Illinois,40.3495,-88.9861,1044647,8401.846901,14667148,1.880400163,115746.1741,"12,812,508",230.8,14,97
75,17,14,Illinois,40.3495,-88.9861,1048779,8434.691431,14763993,1.87588473,116510.4289,"12,812,508",230.8,14,97
80,18,14,Illinois,40.3495,-88.9861,1052096,8461.404245,14826995,1.876304544,117007.6108,"12,812,508",230.8,14,97
85,19,14,Illinois,40.3495,-88.9861,1056379,8495.479853,14898528,1.872029814,117572.1153,"12,812,508",230.8,14,97
90,20,14,Illinois,40.3495,-88.9861,1061069,8533.532789,14984649,1.875888932,118251.7414,"12,812,508",230.8,14,97
95,21,14,Illinois,40.3495,-88.9861,1065910,8572.824695,15083685,1.87999444,119033.2865,"12,812,508",230.8,14,97
100,22,14,Illinois,40.3495,-88.9861,1072841,8628.396818,15209516,1.878038185,120026.2851,"12,812,508",230.8,14,97
105,23,14,Illinois,40.3495,-88.9861,1077882,8669.053958,15319694,1.879334782,120895.7576,"12,812,508",230.8,14,97
110,24,14,Illinois,40.3495,-88.9861,1081139,8695.032861,15409832,1.876896296,121607.0839,"12,812,508",230.8,14,97
115,25,14,Illinois,40.3495,-88.9861,1084019,8718.265512,15484034,1.877687794,122192.6509,"12,812,508",230.8,14,97
120,26,14,Illinois,40.3495,-88.9861,1087577,8747.203737,15553319,1.8813096,122739.4153,"12,812,508",230.8,14,97
125,27,14,Illinois,40.3495,-88.9861,1091232,8776.804849,15633443,1.883596285,123371.7159,"12,812,508",230.8,14,97
130,28,14,Illinois,40.3495,-88.9861,1095299,8809.878233,15733562,1.887632438,124161.8075,"12,812,508",230.8,14,97
135,29,14,Illinois,40.3495,-88.9861,1099382,8842.675413,15844619,1.88714606,125038.2167,"12,812,508",230.8,14,97
140,30,14,Illinois,40.3495,-88.9861,1102660,8842.675413,15952421,1.88714606,125888.9389,"12,812,508",230.8,14,97
145,31,14,Illinois,40.3495,-88.9861,1105048,8888.233191,16039292,1.886973376,126574.4837,"12,812,508",230.8,14,97
1,2,16,Iowa,42.0115,-93.2105,36735,8998.057095,1175920,1.38995051,37270.8054,"3,190,369",57.1,38,99
6,3,16,Iowa,42.0115,-93.2105,36748,9024.04701,1178096,1.385947351,37339.77376,"3,190,369",57.1,38,99
11,4,16,Iowa,42.0115,-93.2105,37687,9076.058534,1179621,1.394068921,37388.10866,"3,190,369",57.1,38,99
16,5,16,Iowa,42.0115,-93.2105,36446,9137.610259,1181244,1.387106397,37439.54968,"3,190,369",57.1,38,99
21,6,16,Iowa,42.0115,-93.2105,36797,9216.150513,1185478,1.396263791,37573.74638,"3,190,369",57.1,38,99
26,7,16,Iowa,42.0115,-93.2105,37465,9292.630591,1188908,1.386477665,37682.46029,"3,190,369",57.1,38,99
31,8,16,Iowa,42.0115,-93.2105,37137,9342.486854,1192481,1.399094863,37795.70659,"3,190,369",57.1,38,99
36,9,16,Iowa,42.0115,-93.2105,36941,9387.145135,1195536,1.393451756,37892.53487,"3,190,369",57.1,38,99
